X1,Name,judge_country,number,segment,skater,skater_country,TSS
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,65
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,63.1
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Coomes/Buckland,GBR,67.3
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,66.2
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,65.6
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,69.4
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,69.5
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,68.9
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,68.7
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,68.7
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,66.7
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Guignard/Fabbri,ITA,67.9
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,65.3
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,68.2
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,67.9
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,65.8
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,68.4
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,67.8
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,66.3
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,66.4
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Hurtado/Khaliavin,ESP,67.5
