"","name","country"
"278","Florence VUYLSTEKER","FRA"
"279","Claudia UNGER","ISU"
"280","Christel BORGHI","ISU"
"281","Karen HOWARD","CAN"
"282","Fernand FEDRONIC","ISU"
"283","Tianyi ZHANG","CHN"
"284","Ulf DENZER","GER"
"285","Wieland LUEDERS","ISU"
"286","Zuzana PLESNIKOVA","CZE"
"287","Brett DRURY","USA"
"288","Zanna KULIK","EST"
"289","Heide MARITCZAK","AUT"
"290","Helene CUCUPHAT","FRA"
"291","Marianne HUGUENIN","SUI"
"292","Olga MARKOVA","ISU"
"293","Diana BARBACCI LEVY","SUI"
"294","Deveny DECK","USA"
"295","Anthony LEROY","FRA"
"296","Stanislava SMIDOVA","CZE"
"297","Sylvain GUIBORD","CAN"
"298","Michael WEBSTER","ISU"
"299","Walter TOIGO","ITA"
"300","Kerstin KIMMINUS","GER"
"301","Seppo KURTTI","FIN"
"302","Olga BARANOVA","ISU"
"303","Naotsugu YOSHIHIRO","JPN"
"304","Tineke POSNO","ISU"
"305","Sharon ROGERS","USA"
"306","Peter CAIN","ISU"
"307","Scott DAVIS","ISU"
"308","Yumin WANG","CHN"
"309","Franco BENINI","ITA"
"310","Soltan KOKOEV","ISU"
"311","Risa HAYAKAWA","ISU"
"312","Christopher BUCHANAN","GBR"
"313","Adrienn SCHADENBAUER","AUT"
"314","Fabrizio PEDRAZZINI","ISU"
"315","Anna BURVALL","ISU"
"316","Guenther TEICHMANN","GER"
"317","Wilhelmina VAN VEEN","ISU"
"318","Guona ZHAO","CHN"
"319","Nikolai SALNIKOV","EST"
"320","Katalin ALPERN","ISR"
"321","Sasha MARTINEZ","MEX"
"322","Frederic AVOT","ISU"
"323","Claudia STAHNKE","GER"
"324","Irina ABSALIAMOVA","ARM"
"325","Katerina MRAZOVA","ISU"
"326","Inessa MATVEEVA","ISU"
"327","Zsofia WAGNER","HUN"
"328","Jezabel DABOUIS","FRA"
"329","Patrick IBENS","BEL"
"330","Paula M. NAUGHTON","USA"
"331","Matteo BALLABIO","ISU"
"332","Zuzana HOROSCAKOVA","ISU"
"333","Sandor GALAMBOS","ISU"
"334","Suzanne LINDSEY","GBR"
"335","Akos PETHES","HUN"
"336","Saioa SANCHO","ESP"
"337","Paolo PIZZOCARI","ITA"
"338","Anett POETZSCH","ISU"
"339","Ronny BANFI","ISU"
"340","Karen ARCHER","GBR"
"341","Nikolai IANEV","BUL"
"342","Markus GERMANN","SUI"
"343","Julia DEGENHARDT","ISU"
"344","Marie BOWNESS","ISU"
"345","Marta OLOZAGARRE","ESP"
"346","Jung-Sue LEE","KOR"
"347","Melody Tan Tan YIP","HKG"
"348","Mark STORTON","AUS"
"349","Marta SENRA","ISU"
"350","Bruno MARCOTTE","ISU"
"351","Nicolae BELLU","ISU"
"352","Wendy LANGTON","AUS"
"353","Attila SOOS","HUN"
"354","Veronique FLEURY","ISU"
"355","Andrea GMELIN","ROM"
"356","Salome CHIGOGIDZE","GEO"
"357","Hal MARRON","USA"
"358","Raffaella LOCATELLI","ITA"
"359","Felicitas BABUSIKOVA","ISU"
"360","Tomoaki KOYAMA","ISU"
"361","Inger ANDERSSON","SWE"
"362","Igor BICH","ISU"
"363","Yanghong ZHAO","CHN"
"364","Pirjo UIMONEN","ISU"
"365","Fabio BIANCHETTI","ISU"
"366","Margaret WORSFOLD","GBR"
"367","Cynthia BENSON","CAN"
"368","Laurene COLLIN-KNOBLAUCH","ISU"
"369","Breda MARINSEK","SLO"
"370","Elizabeth ALEXANDRE","AUS"
"371","Hege ROSTO JENSEN","NOR"
"372","Emiko KITAJI","ISU"
"373","Vessela POPOVA","BGR"
"374","John GREENWOOD","CAN"
"375","Ebru ANILDI","TUR"
"376","Anne HARDY-THOMAS","FRA"
"377","Philippe MERIGUET","FRA"
"378","Zuzana ZACKOVA","ISU"
"379","Christiane MILES","SUI"
"380","Maira ABASOVA","RUS"
"381","Yibing JIANG","CHN"
"382","Na Young AHN","KOR"
"383","Alexei SHIRSHOV","BLR"
"384","Nicole LEBLANC-RICHARD","CAN"
"385","Terry KUBICKA","ISU"
"386","Leanna CARON","CAN"
"387","Katarina HENRIKSSON","SWE"
"388","Agnieszka SWIDERSKA","POL"
"389","So-Young AN","KOR"
"390","Troy GOLDSTEIN","ISU"
"391","Florin GAFENCU","ISU"
"392","Elizabeth CLARK","CAN"
"393","Peter LEVIN","SWE"
"394","Ranko HIRAI","ISU"
"395","Saodat NUMANOVA","UZB"
"396","Ravi WALIA","ISU"
"397","Margus HERNITS","ISU"
"398","April SARGENT","ISU"
"399","Weiguang CHEN","CHN"
"400","Mona ADOLFSEN","NOR"
"401","Sally REHORICK","CAN"
"402","Darja GABROVSEK-POLAJNAR","SLO"
"403","Sviatoslav BABENKO","RUS"
"404","Claudia BRAMBATI","ITA"
"405","Yuri KLIUSHNIKOV","UKR"
"406","Nadezhda FIODOROVA","BLR"
"407","Nenad ORBAN","ISU"
"408","Tiziana MIORINI","ITA"
"409","Sakae YAMAMOTO","JPN"
"410","Susan JOHNSON","USA"
"411","Olga ALEXEEVA","ISU"
"412","Janis ENGEL","USA"
"413","Evgeni ROKHIN","UZB"
"414","Yuri GUSKOV","KAZ"
"415","Susan PETRICEVIC","NZL"
"416","Roumen JORDANOV","ISU"
"417","Nicole VAN GERWEN-MAAS","ISU"
"418","Mateja AVBREHT","SLO"
"419","Karen JONES","GBR"
"420","Larisa FEDOSEEVA","ISU"
"421","Ekaterina SEROVA","BLR"
"422","Valerie GRELET LAMBERT","FRA"
"423","Sergei BARANOV","ISU"
"424","Aya YOSHIMURA","ISU"
"425","Lori DUNN","USA"
"426","Yuko OGAWA","JPN"
"427","Brigitte WENDT","GER"
"428","Robyn BURLEY","ISU"
"429","Steven HSU","ISU"
"430","Zsuzsanna VIKARNE-HOMOLYA","HUN"
"431","Michael WALDVOGEL","ISU"
"432","Vanessa GUSMEROLI","ISU"
"433","Dzianis SAROKIN","ISU"
"434","Christl HEIDLER","ISU"
"435","Kristina LUNDGREN","USA"
"436","Annette BOEREN-MAAS","ISU"
"437","Kazuya SAWADA","ISU"
"438","Guangying QIN","CHN"
"439","Natalia KRUGLOVA","UKR"
"440","Malgorzata SOBKOW","POL"
"441","Christian BAUMANN","GER"
"442","Anne SARASKIN","ISU"
"443","Lone VILLEFRANCE","DEN"
"444","Benoit LAVOIE","CAN"
"445","Maria MILLER","POL"
"446","Kersten BELLMANN","GER"
"447","Roberts KRUTKRAMELIS","LAT"
"448","Mary CHAPMAN","GBR"
"449","Massimo ORLANDINI","ITA"
"450","Maria HRACHOVCOVA","ISU"
"451","Wendy ENZMANN","USA"
"452","Sung-Jin BYUN","ISU"
"453","Peggy GRAHAM","USA"
"454","Tomie FUKUDOME","JPN"
"455","Gale TANGER","USA"
"456","Irina KOMARNICKA","LAT"
"457","Anastasia PAPAGIANNOPOULOU","ISU"
"458","Susan BLATZ","CAN"
"459","Deborah ISLAM","CAN"
"460","Sonja MUELLENBACH","GER"
"461","Michael SLIPCHUK","ISU"
"462","Andre BOURGEOIS","ISU"
"463","Merja HUTTUNEN","ISU"
"464","Ann MUSING","BEL"
"465","Jean-Bernard HAMEL","FRA"
"466","Daniela TACCANI","ITA"
"467","Shin AMANO","ISU"
"468","Roland MAEDER","SUI"
"469","Natan KFIR","ISR"
"470","Pierre de LACROIX","FRA"
"471","Gyorgy ELEK","ISU"
"472","Alexander PENCHEV","BUL"
"473","Natalia PRIMACHENKO","RUS"
"474","Hea-Kyung KIM","KOR"
"475","Pekka LESKINEN","FIN"
"476","Svetlana LYAPINA","ISU"
"477","Marylin KREUZINGER","ISU"
"478","Tomislav CIZMESIJA","ISU"
"479","Lorna SCHRODER","CAN"
"480","Eun-Hee LEE","ISU"
"481","Francesca FERMI","ISU"
"482","Jennifer MAST","USA"
"483","Anastassia MAKAROVA","UKR"
"484","Susan LYNCH","ISU"
"485","Gilberto VIADANA","ISU"
"486","Noriko SHIROTA","JPN"
"487","Eniko BERKES","ISU"
"488","Kaoru TAKINO","JPN"
"489","Elke TREITZ","GER"
"490","Catherine L. TAYLOR","AUS"
"491","Francis BETSCH","FRA"
"492","Robert ROSENBLUTH","USA"
"493","Evgenia KARNOLSKA","BUL"
"494","Tamie K. CAMPBELL","USA"
"495","Malgorzata GRAJCAR","ISU"
"496","Ingrid Charlotte WOLTER","GER"
"497","Iris PAUL","ISU"
"498","Katerina KAMBERSKA","ISU"
"499","Sandrine COLLEONI","FRA"
"500","Masako KAWAI","ISU"
"501","Patrik BRECHT","SUI"
"502","Leo  LENKOLA","FIN"
"503","Maria OLESINSKA","POL"
"504","Mayumi KATO","JPN"
"505","Zoia JORDANOVA","BUL"
